PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Radius (in)	TangentLength (in)	Series
B35AL-30-12-HT12	B35-30in	B35-12in	5.06	31.49	13.49	3.96	30	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-18-HT12	B35-30in	B35-18in	5.06	31.49	19.49	3.96	30	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-24-HT12	B35-30in	B35-24in	5.06	31.49	25.49	3.96	30	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-36-HT12	B35-30in	B35-36in	5.06	31.49	37.49	3.96	30	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-42-HT12	B35-30in	B35-42in	5.06	31.49	43.49	3.96	30	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-06-HT12	B35-36in	B35-06in	5.06	37.49	7.49	3.96	36	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-09-HT12	B35-36in	B35-09in	5.06	37.49	10.49	3.96	36	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-12-HT12	B35-36in	B35-12in	5.06	37.49	13.49	3.96	36	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-18-HT12	B35-36in	B35-18in	5.06	37.49	19.49	3.96	36	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-24-HT12	B35-36in	B35-24in	5.06	37.49	25.49	3.96	36	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-30-HT12	B35-36in	B35-30in	5.06	37.49	31.49	3.96	36	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-42-HT12	B35-36in	B35-42in	5.06	37.49	43.49	3.96	36	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-06-HT12	B35-42in	B35-06in	5.06	43.49	7.49	3.96	42	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-09-HT12	B35-42in	B35-09in	5.06	43.49	10.49	3.96	42	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-12-HT12	B35-42in	B35-12in	5.06	43.49	13.49	3.96	42	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-18-HT12	B35-42in	B35-18in	5.06	43.49	19.49	3.96	42	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-24-HT12	B35-42in	B35-24in	5.06	43.49	25.49	3.96	42	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-30-HT12	B35-42in	B35-30in	5.06	43.49	31.49	3.96	42	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-36-HT12	B35-42in	B35-36in	5.06	43.49	37.49	3.96	42	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B36AL-06-HT12	B36-06in	B36-06in	6.17	7.45	7.45	5.06	6	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-HT12	B36-09in	B36-09in	6.17	10.45	10.45	5.06	9	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-HT12	B36-12in	B36-12in	6.17	13.45	13.45	5.06	12	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-HT12	B36-18in	B36-18in	6.17	19.45	19.45	5.06	18	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-HT12	B36-24in	B36-24in	6.17	25.45	25.45	5.06	24	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-HT12	B36-30in	B36-30in	6.17	31.45	31.45	5.06	30	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-HT12	B36-36in	B36-36in	6.17	37.45	37.45	5.06	36	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-HT12	B36-42in	B36-42in	6.17	43.45	43.45	5.06	42	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-09-HT12	B36-06in	B36-09in	6.17	7.45	10.45	5.06	6	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-12-HT12	B36-06in	B36-12in	6.17	7.45	13.45	5.06	6	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-18-HT12	B36-06in	B36-18in	6.17	7.45	19.45	5.06	6	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-24-HT12	B36-06in	B36-24in	6.17	7.45	25.45	5.06	6	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-30-HT12	B36-06in	B36-30in	6.17	7.45	31.45	5.06	6	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-36-HT12	B36-06in	B36-36in	6.17	7.45	37.45	5.06	6	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-06-42-HT12	B36-06in	B36-42in	6.17	7.45	43.45	5.06	6	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-06-HT12	B36-09in	B36-06in	6.17	10.45	7.45	5.06	9	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-12-HT12	B36-09in	B36-12in	6.17	10.45	13.45	5.06	9	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-18-HT12	B36-09in	B36-18in	6.17	10.45	19.45	5.06	9	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-24-HT12	B36-09in	B36-24in	6.17	10.45	25.45	5.06	9	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-30-HT12	B36-09in	B36-30in	6.17	10.45	31.45	5.06	9	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-36-HT12	B36-09in	B36-36in	6.17	10.45	37.45	5.06	9	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-09-42-HT12	B36-09in	B36-42in	6.17	10.45	43.45	5.06	9	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-06-HT12	B36-12in	B36-06in	6.17	13.45	7.45	5.06	12	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-09-HT12	B36-12in	B36-09in	6.17	13.45	10.45	5.06	12	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-18-HT12	B36-12in	B36-18in	6.17	13.45	19.45	5.06	12	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-24-HT12	B36-12in	B36-24in	6.17	13.45	25.45	5.06	12	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-30-HT12	B36-12in	B36-30in	6.17	13.45	31.45	5.06	12	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-36-HT12	B36-12in	B36-36in	6.17	13.45	37.45	5.06	12	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-12-42-HT12	B36-12in	B36-42in	6.17	13.45	43.45	5.06	12	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-06-HT12	B36-18in	B36-06in	6.17	19.45	7.45	5.06	18	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-09-HT12	B36-18in	B36-09in	6.17	19.45	10.45	5.06	18	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-12-HT12	B36-18in	B36-12in	6.17	19.45	13.45	5.06	18	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-24-HT12	B36-18in	B36-24in	6.17	19.45	25.45	5.06	18	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
