PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Length (in)	Series
B36AL-30-06-LR	B36-30in	B36-06in	6.17	31.45	7.45	5.06	30	6	0.11	2	0.075	1	1	6	21.875	B Series 36  Aluminum 6in rails
B36AL-30-09-LR	B36-30in	B36-09in	6.17	31.45	10.45	5.06	30	9	0.11	2	0.075	1	1	6	20.125	B Series 36  Aluminum 6in rails
B36AL-30-12-LR	B36-30in	B36-12in	6.17	31.45	13.45	5.06	30	12	0.11	2	0.075	1	1	6	18.375	B Series 36  Aluminum 6in rails
B36AL-30-18-LR	B36-30in	B36-18in	6.17	31.45	19.45	5.06	30	18	0.11	2	0.075	1	1	6	14.9375	B Series 36  Aluminum 6in rails
B36AL-30-24-LR	B36-30in	B36-24in	6.17	31.45	25.45	5.06	30	24	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
B36AL-36-06-LR	B36-36in	B36-06in	6.17	37.45	7.45	5.06	36	6	0.11	2	0.075	1	1	6	25.3125	B Series 36  Aluminum 6in rails
B36AL-36-09-LR	B36-36in	B36-09in	6.17	37.45	10.45	5.06	36	9	0.11	2	0.075	1	1	6	23.5625	B Series 36  Aluminum 6in rails
B36AL-36-12-LR	B36-36in	B36-12in	6.17	37.45	13.45	5.06	36	12	0.11	2	0.075	1	1	6	21.875	B Series 36  Aluminum 6in rails
B36AL-36-18-LR	B36-36in	B36-18in	6.17	37.45	19.45	5.06	36	18	0.11	2	0.075	1	1	6	18.375	B Series 36  Aluminum 6in rails
B36AL-36-24-LR	B36-36in	B36-24in	6.17	37.45	25.45	5.06	36	24	0.11	2	0.075	1	1	6	14.9375	B Series 36  Aluminum 6in rails
B36AL-36-30-LR	B36-36in	B36-30in	6.17	37.45	31.45	5.06	36	30	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
B36AL-42-06-LR	B36-42in	B36-06in	6.17	43.45	7.45	5.06	42	6	0.11	2	0.075	1	1	6	28.75	B Series 36  Aluminum 6in rails
B36AL-42-09-LR	B36-42in	B36-09in	6.17	43.45	10.45	5.06	42	9	0.11	2	0.075	1	1	6	27.0625	B Series 36  Aluminum 6in rails
