NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)
18in	SCHEDULE 160	18	18.0000	1.7810
20in	SCHEDULE 160	20	20.0000	1.9690
22in	SCHEDULE 160	22	22.0000	2.1250
24in	SCHEDULE 160	24	24.0000	2.3440
1/8in	STANDARD	0.125	0.4050	0.0680
1/4in	STANDARD	0.25	0.5400	0.0880
1/2in	STANDARD	0.5	0.8400	0.1090
3/4in	STANDARD	0.75	1.0500	0.1130
1in	STANDARD	1	1.3150	0.1330
1 1/4in	STANDARD	1.25	1.6600	0.1400
1 1/2in	STANDARD	1.5	1.9000	0.1450
2in	STANDARD	2	2.3750	0.1540
2 1/2in	STANDARD	2.5	2.8750	0.2030
3in	STANDARD	3	3.5000	0.2160
3 1/2in	STANDARD	3.5	4.0000	0.2260
4in	STANDARD	4	4.5000	0.2370
5in	STANDARD	5	5.5630	0.2580
6in	STANDARD	6	6.6250	0.2800
8in	STANDARD	8	8.6250	0.3220
10in	STANDARD	10	10.7500	0.3650
12in	STANDARD	12	12.7500	0.3750
14in	STANDARD	14	14.0000	0.3750
16in	STANDARD	16	16.0000	0.3750
18in	STANDARD	18	18.0000	0.3750
20in	STANDARD	20	20.0000	0.3750
22in	STANDARD	22	22.0000	0.3750
24in	STANDARD	24	24.0000	0.3750
26in	STANDARD	26	26.0000	0.3750
28in	STANDARD	28	28.0000	0.3750
30in	STANDARD	30	30.0000	0.3750
32in	STANDARD	32	32.0000	0.3750
34in	STANDARD	34	34.0000	0.3750
36in	STANDARD	36	36.0000	0.3750
38in	STANDARD	38	38.0000	0.3750
40in	STANDARD	40	40.0000	0.3750
42in	STANDARD	42	42.0000	0.3750
44in	STANDARD	44	44.0000	0.3750
46in	STANDARD	46	46.0000	0.3750
48in	STANDARD	48	48.0000	0.3750
1/2in	DOUBLE EXTRA STRONG	0.5	0.8400	0.2940
3/4in	DOUBLE EXTRA STRONG	0.75	1.0500	0.3080
1in	DOUBLE EXTRA STRONG	1	1.3150	0.3580
1 1/4in	DOUBLE EXTRA STRONG	1.25	1.6600	0.3820
1 1/2in	DOUBLE EXTRA STRONG	1.5	1.9000	0.4000
2in	DOUBLE EXTRA STRONG	2	2.3750	0.4360
2 1/2in	DOUBLE EXTRA STRONG	2.5	2.8750	0.5520
3in	DOUBLE EXTRA STRONG	3	3.5000	0.6000
4in	DOUBLE EXTRA STRONG	4	4.5000	0.6740
5in	DOUBLE EXTRA STRONG	5	5.5630	0.7500
6in	DOUBLE EXTRA STRONG	6	6.6250	0.8640
8in	DOUBLE EXTRA STRONG	8	8.6250	0.8750
10in	DOUBLE EXTRA STRONG	10	10.7500	1.0000
12in	DOUBLE EXTRA STRONG	12	12.7500	1.0000
1/2in	SCHEDULE 5S	0.5	0.8400	0.0650
3/4in	SCHEDULE 5S	0.75	1.0500	0.0650
1in	SCHEDULE 5S	1	1.3150	0.0650
1 1/4in	SCHEDULE 5S	1.25	1.6600	0.0650
1 1/2in	SCHEDULE 5S	1.5	1.9000	0.0650
2in	SCHEDULE 5S	2	2.3750	0.0650
2 1/2in	SCHEDULE 5S	2.5	2.8750	0.0830
3in	SCHEDULE 5S	3	3.5000	0.0830
3 1/2in	SCHEDULE 5S	3.5	4.0000	0.0830
4in	SCHEDULE 5S	4	4.5000	0.0830
5in	SCHEDULE 5S	5	5.5630	0.1090
6in	SCHEDULE 5S	6	6.6250	0.1090
8in	SCHEDULE 5S	8	8.6250	0.1090
10in	SCHEDULE 5S	10	10.7500	0.1340
12in	SCHEDULE 5S	12	12.7500	0.1560
14in	SCHEDULE 5S	14	14.0000	0.1560
16in	SCHEDULE 5S	16	16.0000	0.1650
18in	SCHEDULE 5S	18	18.0000	0.1650
20in	SCHEDULE 5S	20	20.0000	0.1880
22in	SCHEDULE 5S	22	22.0000	0.1880
24in	SCHEDULE 5S	24	24.0000	0.2180
30in	SCHEDULE 5S	30	30.0000	0.2500
1/8in	SCHEDULE 10S	0.125	0.4050	0.0490
1/4in	SCHEDULE 10S	0.25	0.5400	0.0650
3/8in	SCHEDULE 10S	0.375	0.6750	0.0650
1/2in	SCHEDULE 10S	0.5	0.8400	0.0830
3/4in	SCHEDULE 10S	0.75	1.0500	0.0830
1in	SCHEDULE 10S	1	1.3150	0.1090
1 1/4in	SCHEDULE 10S	1.25	1.6600	0.1090
1 1/2in	SCHEDULE 10S	1.5	1.9000	0.1090
2in	SCHEDULE 10S	2	2.3750	0.1090
2 1/2in	SCHEDULE 10S	2.5	2.8750	0.1200
3in	SCHEDULE 10S	3	3.5000	0.1200
3 1/2in	SCHEDULE 10S	3.5	4.0000	0.1200
4in	SCHEDULE 10S	4	4.5000	0.1200
5in	SCHEDULE 10S	5	5.5630	0.1340
6in	SCHEDULE 10S	6	6.6250	0.1340
8in	SCHEDULE 10S	8	8.6250	0.1480
10in	SCHEDULE 10S	10	10.7500	0.1650
12in	SCHEDULE 10S	12	12.7500	0.1800
14in	SCHEDULE 10S	14	14.0000	0.1880
16in	SCHEDULE 10S	16	16.0000	0.1880
18in	SCHEDULE 10S	18	18.0000	0.1880
20in	SCHEDULE 10S	20	20.0000	0.2180
22in	SCHEDULE 10S	22	22.0000	0.2180
24in	SCHEDULE 10S	24	24.0000	0.2500
30in	SCHEDULE 10S	30	30.0000	0.3120
1/8in	SCHEDULE 40S	0.125	0.4050	0.0680
1/4in	SCHEDULE 40S	0.25	0.5400	0.0880
3/8in	SCHEDULE 40S	0.375	0.6750	0.0910
1/2in	SCHEDULE 40S	0.5	0.8400	0.1090
3/4in	SCHEDULE 40S	0.75	1.0500	0.1130
1in	SCHEDULE 40S	1	1.3150	0.1130
1 1/4in	SCHEDULE 40S	1.25	1.6600	0.1400
1 1/2in	SCHEDULE 40S	1.5	1.9000	0.1450
2in	SCHEDULE 40S	2	2.3750	0.1540
2 1/2in	SCHEDULE 40S	2.5	2.8750	0.2030
3in	SCHEDULE 40S	3	3.5000	0.2160
3 1/2in	SCHEDULE 40S	3.5	4.0000	0.2260
4in	SCHEDULE 40S	4	4.5000	0.2370
5in	SCHEDULE 40S	5	5.5630	0.2580
6in	SCHEDULE 40S	6	6.6250	0.2800
8in	SCHEDULE 40S	8	8.6250	0.3220
10in	SCHEDULE 40S	10	10.7500	0.3650
12in	SCHEDULE 40S	12	12.7500	0.3750
