NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)	ISOGenSize(in)
18in	EXTRA STRONG	18	18	0.5	18
20in	EXTRA STRONG	20	20	0.5	20
22in	EXTRA STRONG	22	22	0.5	22
24in	EXTRA STRONG	24	24	0.5	24
26in	EXTRA STRONG	26	26	0.5	26
28in	EXTRA STRONG	28	28	0.5	28
30in	EXTRA STRONG	30	30	0.5	30
32in	EXTRA STRONG	32	32	0.5	32
34in	EXTRA STRONG	34	34	0.5	34
36in	EXTRA STRONG	36	36	0.5	36
38in	EXTRA STRONG	38	38	0.5	38
40in	EXTRA STRONG	40	40	0.5	40
42in	EXTRA STRONG	42	42	0.5	42
44in	EXTRA STRONG	44	44	0.5	44
46in	EXTRA STRONG	46	46	0.5	46
1/4in	SCHEDULE 80	0.25	0.54	0.119	0.25
3/8in	SCHEDULE 80	0.375	0.675	0.126	0.375
1/2in	SCHEDULE 80	0.5	0.84	0.147	0.5
3/4in	SCHEDULE 80	0.75	1.05	0.154	0.75
1in	SCHEDULE 80	1	1.315	0.179	1
1 1/4in	SCHEDULE 80	1.25	1.66	0.191	1.25
1 1/2in	SCHEDULE 80	1.5	1.9	0.2	1.5
2in	SCHEDULE 80	2	2.375	0.218	2
2 1/2in	SCHEDULE 80	2.5	2.875	0.276	2.5
3in	SCHEDULE 80	3	3.5	0.3	3
3 1/2in	SCHEDULE 80	3.5	4	0.318	3.5
4in	SCHEDULE 80	4	4.5	0.337	4
5in	SCHEDULE 80	5	5.563	0.375	5
6in	SCHEDULE 80	6	6.625	0.432	6
8in	SCHEDULE 80	8	8.625	0.5	8
10in	SCHEDULE 80	10	10.75	0.594	10
12in	SCHEDULE 80	12	12.75	0.688	12
14in	SCHEDULE 80	14	14	0.75	14
16in	SCHEDULE 80	16	16	0.844	16
18in	SCHEDULE 80	18	18	0.938	18
20in	SCHEDULE 80	20	20	1.031	20
22in	SCHEDULE 80	22	22	1.125	22
24in	SCHEDULE 80	24	24	1.219	24
24in	SCHEDULE 160	0.5	0.84	0.188	0.5	
3/4in	SCHEDULE 160	0.75	1.05	0.219	0.75
1in	SCHEDULE 160	1	1.315	0.25	1
1 1/4in	SCHEDULE 160	1.25	1.66	0.25	1.25
1 1/2in	SCHEDULE 160	1.5	1.9	0.281	1.5
2in	SCHEDULE 160	2	2.375	0.344	2
2 1/2in	SCHEDULE 160	2.5	2.875	0.375	2.5
3in	SCHEDULE 160	3	3.5	0.438	3
4in	SCHEDULE 160	4	4.5	0.531	4
5in	SCHEDULE 160	5	5.563	0.625	5
6in	SCHEDULE 160	6	6.625	0.719	6
8in	SCHEDULE 160	8	8.625	0.906	8
10in	SCHEDULE 160	10	10.75	1.125	10
12in	SCHEDULE 160	12	12.75	1.312	12
14in	SCHEDULE 160	14	14	1.406	14
16in	SCHEDULE 160	16	16	1.594	16
18in	SCHEDULE 160	18	18	1.781	18
20in	SCHEDULE 160	20	20	1.969	20
22in	SCHEDULE 160	22	22	2.125	22
24in	SCHEDULE 160	24	24	2.344	24
1/8in	STANDARD	0.125	0.405	0.068	0.125
1/4in	STANDARD	0.25	0.54	0.088	0.25
1/4in	STANDARD	0.362	0.675	0.091	0.362
1/2in	STANDARD	0.5	0.84	0.109	0.5
3/4in	STANDARD	0.75	1.05	0.113	0.75
1in	STANDARD	1	1.315	0.133	1
1 1/4in	STANDARD	1.25	1.66	0.14	1.25
1 1/2in	STANDARD	1.5	1.9	0.145	1.5
2in	STANDARD	2	2.375	0.154	2	
2 1/2in	STANDARD	2.5	2.875	0.203	2.5
3in	STANDARD	3	3.5	0.216	3
3 1/2in	STANDARD	3.5	4	0.226	3.5
4in	STANDARD	4	4.5	0.237	4
5in	STANDARD	5	5.563	0.258	5
6in	STANDARD	6	6.625	0.28	6
8in	STANDARD	8	8.625	0.322	8
10in	STANDARD	10	10.75	0.365	10
12in	STANDARD	12	12.75	0.375	12
14in	STANDARD	14	14	0.375	14
16in	STANDARD	16	16	0.375	16
18in	STANDARD	18	18	0.375	18
20in	STANDARD	20	20	0.375	20
22in	STANDARD	22	22	0.375	22
24in	STANDARD	24	24	0.375	24
26in	STANDARD	26	26	0.375	26
28in	STANDARD	28	28	0.375	28
30in	STANDARD	30	30	0.375	30
32in	STANDARD	32	32	0.375	32
34in	STANDARD	34	34	0.375	34
36in	STANDARD	36	36	0.375	36
38in	STANDARD	38	38	0.375	38
40in	STANDARD	40	40	0.375	40
42in	STANDARD	42	42	0.375	42
44in	STANDARD	44	44	0.375	44
46in	STANDARD	46	46	0.375	46
3/4in	DOUBLE EXTRA STRONG	0.75	1.05	0.308	0.75
1in	DOUBLE EXTRA STRONG	1	1.315	0.358	1
1 1/4in	DOUBLE EXTRA STRONG	1.25	1.66	0.382	1.25
1 1/2in	DOUBLE EXTRA STRONG	1.5	1.9	0.4	1.5
2in	DOUBLE EXTRA STRONG	2	2.375	0.436	2
2 1/2in	DOUBLE EXTRA STRONG	2.5	2.875	0.552	2.5
3in	DOUBLE EXTRA STRONG	3	3.5	0.6	3
4in	DOUBLE EXTRA STRONG	4	4.5	0.674	4
5in	DOUBLE EXTRA STRONG	5	5.563	0.75	5
6in	DOUBLE EXTRA STRONG	6	6.625	0.864	6
8in	DOUBLE EXTRA STRONG	8	8.625	0.875	8
10in	DOUBLE EXTRA STRONG	10	10.75	1	10
12in	DOUBLE EXTRA STRONG	12	12.75	1	12
12in	SCHEDULE 5S	0.5	0.84	0.065	0.84
3/4in	SCHEDULE 5S	0.75	1.05	0.065	0.75
1in	SCHEDULE 5S	1	1.315	0.065	1
1 1/4in	SCHEDULE 5S	1.25	1.66	0.065	1.25
1 1/2in	SCHEDULE 5S	1.5	1.9	0.065	1.5
2in	SCHEDULE 5S	2	2.375	0.065	2
2 1/2in	SCHEDULE 5S	2.5	2.875	0.083	2.5
3in	SCHEDULE 5S	3	3.5	0.083	3
3 1/2in	SCHEDULE 5S	3.5	4	0.083	3.5
4in	SCHEDULE 5S	4	4.5	0.083	4
5in	SCHEDULE 5S	5	5.563	0.109	5
6in	SCHEDULE 5S	6	6.625	0.109	6
8in	SCHEDULE 5S	8	8.625	0.109	8
10in	SCHEDULE 5S	10	10.75	0.134	10
12in	SCHEDULE 5S	12	12.75	0.156	12
14in	SCHEDULE 5S	14	14	0.156	14
16in	SCHEDULE 5S	16	16	0.165	16
18in	SCHEDULE 5S	18	18	0.165	18
20in	SCHEDULE 5S	20	20	0.188	20
22in	SCHEDULE 5S	22	22	0.188	22
24in	SCHEDULE 5S	24	24	0.218	24
30in	SCHEDULE 5S	30	30	0.25	30
1/8in	SCHEDULE 10S	0.125	0.405	0.049	0.125
1/4in	SCHEDULE 10S	0.25	0.54	0.065	0.25
3/8in	SCHEDULE 10S	0.375	0.675	0.065	0.375
1/2in	SCHEDULE 10S	0.5	0.84	0.083	0.5
3/4in	SCHEDULE 10S	0.75	1.05	0.083	0.75
1in	SCHEDULE 10S	1	1.315	0.109	1
1 1/4in	SCHEDULE 10S	1.25	1.66	0.109	1.25
1 1/2in	SCHEDULE 10S	1.5	1.9	0.109	1.5
2in	SCHEDULE 10S	2	2.375	0.109	2
2 1/2in	SCHEDULE 10S	2.5	2.875	0.12	2.5
3in	SCHEDULE 10S	3	3.5	0.12	3
3 1/2in	SCHEDULE 10S	3.5	4	0.12	3.5
4in	SCHEDULE 10S	4	4.5	0.12	4
5in	SCHEDULE 10S	5	5.563	0.134	5
6in	SCHEDULE 10S	6	6.625	0.134	6
8in	SCHEDULE 10S	8	8.625	0.148	8
10in	SCHEDULE 10S	10	10.75	0.165	10
12in	SCHEDULE 10S	12	12.75	0.18	12
14in	SCHEDULE 10S	14	14	0.18814
16in	SCHEDULE 10S	16	16	0.188	16
18in	SCHEDULE 10S	18	18	0.188	18
20in	SCHEDULE 10S	20	20	0.218	20
22in	SCHEDULE 10S	22	22	0.218	22
24in	SCHEDULE 10S	24	24	0.25	24
30in	SCHEDULE 10S	30	30	0.312	30
1/8in	SCHEDULE 40S	0.125	0.405	0.068	0.125
1/4in	SCHEDULE 40S	0.25	0.54	0.088	0.25
3/8in	SCHEDULE 40S	0.375	0.675	0.091	0.375
1/2in	SCHEDULE 40S	0.5	0.84	0.109	0.5
3/4in	SCHEDULE 40S	0.75	1.05	0.113	0.75
1in	SCHEDULE 40S	1	1.315	0.113	1
1 1/4in	SCHEDULE 40S	1.25	1.66	0.14	1.25
1 1/2in	SCHEDULE 40S	1.5	1.9	0.145	1.5
2in	SCHEDULE 40S	2	2.375	0.154	2
2 1/2in	SCHEDULE 40S	2.5	2.875	0.203	2.5
3in	SCHEDULE 40S	3	3.5	0.216	3
3 1/2in	SCHEDULE 40S	3.5	4	0.226	3.5
4in	SCHEDULE 40S	4	4.5	0.237	4
5in	SCHEDULE 40S	5	5.563	0.258	5
