PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
WT6x9.5	40	6.08	4.005	0.235	0.35	0.438	0	0	0	0	2.83	9.62	19.79	2.00	2.00	1.63	4.45	10.16	2.28	1.89	1.88	0.94	0.82	0.09	0.93	0.95	0.00
WT6x8	40	5.995	3.99	0.22	0.265	0.5	0	0	0	0	2.43	8.25	19.54	2.00	2.00	1.70	4.29	8.82	2.05	1.91	1.41	0.71	0.76	0.05	0.70	0.88	0.00
WT6x7	40	5.955	3.97	0.2	0.225	0.438	0	0	0	0	2.12	7.21	19.47	1.99	1.99	1.73	4.23	7.76	1.84	1.91	1.18	0.59	0.75	0.03	0.60	0.79	0.00
WT5x56	40	5.68	10.415	0.755	1.25	0.625	0	0	0	0	16.53	56.21	31.65	5.21	5.21	1.21	4.47	28.64	6.40	1.32	117.89	22.64	2.67	8.31	8.68	2.86	0.00
WT5x50	40	5.55	10.34	0.68	1.12	0.625	0	0	0	0	14.76	50.19	31.24	5.17	5.17	1.13	4.42	24.55	5.56	1.29	103.34	19.99	2.65	5.94	7.72	2.52	0.00
WT5x44	40	5.42	10.265	0.605	0.99	0.625	0	0	0	0	13.01	44.23	30.83	5.13	5.13	1.06	4.36	20.79	4.77	1.26	89.35	17.41	2.62	4.08	6.77	2.19	0.00
WT5x38.5	40	5.3	10.19	0.53	0.87	0.625	0	0	0	0	11.38	38.69	30.44	5.10	5.10	0.99	4.31	17.44	4.05	1.24	76.80	15.07	2.60	2.75	5.91	1.87	0.00
WT5x34	40	5.2	10.13	0.47	0.77	0.625	0	0	0	0	10.05	34.17	30.12	5.07	5.07	0.93	4.27	14.90	3.49	1.22	66.77	13.18	2.58	1.90	5.20	1.63	0.00
WT5x30	40	5.11	10.08	0.42	0.68	0.625	0	0	0	0	8.88	30.20	29.84	5.04	5.04	0.88	4.23	12.86	3.04	1.20	58.09	11.53	2.56	1.31	4.57	1.43	0.00
WT5x27	40	5.045	10.03	0.37	0.615	0.625	0	0	0	0	7.98	27.12	29.61	5.02	5.02	0.84	4.21	11.12	2.64	1.18	51.75	10.32	2.55	0.95	4.11	1.24	0.00
WT5x24.5	40	4.99	10	0.34	0.56	0.625	0	0	0	0	7.27	24.73	29.44	5.00	5.00	0.81	4.18	10.00	2.39	1.17	46.70	9.34	2.53	0.72	3.73	1.13	0.00
WT5x22.5	40	5.05	8.02	0.35	0.62	0.625	0	0	0	0	6.69	22.75	25.60	4.01	4.01	0.91	4.14	10.24	2.47	1.24	26.69	6.66	2.00	0.78	3.31	1.18	0.00
WT5x19.5	40	4.96	7.985	0.315	0.53	0.625	0	0	0	0	5.80	19.70	25.35	3.99	3.99	0.87	4.09	8.85	2.16	1.24	22.52	5.64	1.97	0.50	2.82	1.04	0.00
WT5x16.5	40	4.865	7.96	0.29	0.435	0.625	0	0	0	0	4.91	16.71	25.11	3.98	3.98	0.87	4.00	7.72	1.93	1.25	18.31	4.60	1.93	0.28	2.31	0.94	0.00
WT5x15	40	5.235	5.81	0.3	0.51	0.438	0	0	0	0	4.46	15.17	21.71	2.91	2.91	1.09	4.14	9.29	2.24	1.44	8.35	2.87	1.37	0.34	1.98	1.05	0.00
WT5x13	40	5.165	5.77	0.26	0.44	0.438	0	0	0	0	3.85	13.09	21.49	2.89	2.89	1.05	4.11	7.87	1.91	1.43	7.06	2.45	1.35	0.21	1.69	0.90	0.00
WT5x11	40	5.085	5.75	0.24	0.36	0.375	0	0	0	0	3.26	11.10	21.35	2.88	2.88	1.07	4.02	6.89	1.72	1.45	5.71	1.99	1.32	0.12	1.38	0.81	0.00
WT5x9.5	40	5.12	4.02	0.25	0.395	0.438	0	0	0	0	2.85	9.70	17.90	2.01	2.01	1.27	3.85	6.71	1.74	1.53	2.15	1.07	0.87	0.12	1.06	0.85	0.00
