Keywords,MFG_NAME_BAS,MFG_NAME,MFG_ORDER_CODE,MFG_INS_COMMENT,MFG_ISO_SHAPE,MFG_ISO_CLR_ANG,MFG_ISO_TOL,MFG_ISO_TYPE,MFG_ISO_CUT_SIZE,MFG_ISO_THICK,MFG_ISO_NOSE_RAD,MFG_ISO_CUTCOND,MFG_ISO_DIR,MFG_MANUF_OPTION,MFG_INSERT_FORM,MFG_MACH_QUALITY,MFG_INSERT_MAT,MFG_LIFE_TIME,MFG_LIFE_LGTH,MFG_INSCRIB_DIAM,MFG_INSERT_LGTH,MFG_INSERT_THICK,MFG_NOSE_RADIUS,MFG_CLEAR_ANGLE,MFG_INSERT_ANGLE,MFG_COMMENT,MFG_COMPOSITION,MFG_ISO_CLAM_SYS,MFG_ISO_APPR_ANG,MFG_ISO_HEIGHT,MFG_ISO_WIDTH,MFG_ISO_LENGTH,MFG_TRAILING_ANG,MFG_LEADING_ANG,MFG_TL_RAKE_ANG,MFG_INCL_ANGLE,MFG_MAX_REC_DPTH,MFG_SHANK_HEIGHT,MFG_SHANK_WIDTH,MFG_SHK_LENGTH_1,MFG_SHK_LENGTH_2,MFG_SHK_CUT_WDTH,MFG_KAPPA_R,MFG_GAGE_X1,MFG_GAGE_Y1,MFG_GAGE_Z1,MFG_GAGE_X2,MFG_GAGE_Y2,MFG_GAGE_Z2,MFG_ANG_X,MFG_ANG_Y,MFG_ANG_Z,MFG_HAND_TYPE,MFG_HAND_ANGLE,MFG_INSERT_WIDTH,MFG_MIN_CUT_WDTH,MFG_MAX_CUT_WDTH,MFG_MAX_CUT_DPTH,MFG_GAUGING_ANG,MFG_MAX_CUT_DIAM,MFG_MIN_CUT_DIAM,MFG_CUT_LENGTH,MFG_NOSE_RAD_1,MFG_NOSE_RAD_2,MFG_BOTTOM_ANGLE,MFG_FLANK_ANG_1,MFG_FLANK_ANG_2,MFG_MIN_DIAM,MFG_BAR_CUT_RAD,MFG_BAR_LENGTH_1,MFG_BAR_LENGTH_2,MFG_BODY_DIAM,MFG_ISO_BAR_DIA,MFG_ISO_BAR_TYPE,MFG_MAX_BOR_DPTH,MFG_MANUF_NAME,MFG_HAND_STYLE,MFG_MACH_TYPE,MFG_PITCH_OF_THREAD,MFG_THREAD_UNIT,MFG_THREAD_PROF,MFG_THREAD_ANGLE,MFG_TOOTH_X,MFG_TOOTH_Z,MFG_TOOTH_H,
Types,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,Real,mm,mm,mm,mm,mm,deg,deg,String,String,String,String,String,String,String,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,String,deg,mm,mm,mm,mm,deg,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,String,String,mm,String,String,String,mm,String,String,deg,mm,mm,mm,
,MfgDiamondInsert,"DCMT150412","DCMT150412",,"D","C","M","T","15","04","12",,"R",,"POSITIVE","EITHER","COATED_CARBIDE",,0.0,12.7,15.5,4.760000000000001,1.2,7.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgDiamondInsert,"VBMT110308","VBMT110308",,"V","B","M","T","11","03","08",,"R",,"POSITIVE","EITHER","COATED_CARBIDE",,0.0,6.35,11.0,3.18,0.8,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgDiamondInsert,"VBMT160404","VBMT160404",,"V","B","M","T","16","04","04",,"R",,"POSITIVE","EITHER","COATED_CARBIDE",,0.0,9.525,16.6,4.760000000000001,0.4,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PCBNL2525M12","PCBNL2525M12",,"C","N",,,"12",,,,"L",,,,,,,,12.9,,,0.0,80.0,,"INSERT_HOLDER","P","B",,,,5.0,75.0,-6.0,-6.0,26.0,25.0,25.0,150.0,26.0,22.0,75.0,88.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PCBNL2525M16","PCBNL2525M16",,"C","N",,,"16",,,,"L",,,,,,,,16.1,,,0.0,80.0,,"INSERT_HOLDER","P","B",,,,5.0,75.0,-6.0,-6.0,30.0,25.0,25.0,150.0,30.0,22.0,75.0,90.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PCBNL3232P19","PCBNL3232P19",,"C","N",,,"19",,,,"L",,,,,,,,19.3,,,0.0,80.0,,"INSERT_HOLDER","P","B",,,,5.0,75.0,-6.0,-6.0,38.0,32.0,32.0,170.0,38.0,27.0,75.0,104.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PDJNL1616H11","PDJNL1616H11",,"D","N",,,"11",,,,"L",,,,,,,,11.6,,,0.0,55.0,,"INSERT_HOLDER","P","J",,,,32.0,93.0,-7.0,-6.0,28.0,16.0,16.0,100.0,28.0,20.0,93.0,64.0,16.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PDJNL2525M11","PDJNL2525M11",,"D","N",,,"11",,,,"L",,,,,,,,11.6,,,0.0,55.0,,"INSERT_HOLDER","P","J",,,,32.0,93.0,-7.0,-6.0,28.0,25.0,25.0,150.0,28.0,32.0,93.0,89.0,25.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PDJNL3232P15","PDJNL3232P15",,"D","N",,,"15",,,,"L",,,,,,,,15.5,,,0.0,55.0,,"INSERT_HOLDER","P","J",,,,32.0,93.0,-7.0,-6.0,36.0,32.0,32.0,170.0,36.0,40.0,93.0,103.0,32.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MfgExternalTool,"PSBNL2020K12","PSBNL2020K12",,"S","N",,,"12",,,,"L",,,,,,,,12.7,,,0.0,90.0,,"INSERT_HOLDER","P","B",,,,15.0,75.0,-6.0,-6.0,26.0,20.0,20.0,125.0,26.0,17.0,75.0,75.5,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
