PartNumber	NominalSize	NominalSize2	OutsideDiameter	OutsideDiameter2	EndToEndLength	ConnectorOffsetPipeEnd	ThreadDiameterPipeEnd	ThreadDiameterFlareEnd	ThreadLengthFlareEnd	InsideDiameterPipeEnd	InsideDiameterFlareEnd	FlareAngle	FlareDiameterFlareEnd	FlareLengthFlareEnd	HexNutDiameter	HexNutThickness	Standard	
ADAPTOR-TM-TMFL-6mm-12mm	6mm	12mm	6mm	12mm	39mm	10mm	11mm	19mm	10mm	4mm	10mm	37deg	16mm	6mm	22mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-10mm-6mm	10mm	6mm	10mm	6mm	36mm	10mm	14mm	11mm	7mm	8mm	4mm	37deg	9mm	4mm	18mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-10mm-8mm	10mm	8mm	10mm	8mm	36mm	10mm	14mm	13mm	7mm	8mm	6mm	37deg	10mm	5mm	18mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-10mm-10mm	10mm	10mm	10mm	10mm	36mm	10mm	14mm	14mm	8mm	8mm	8mm	37deg	12mm	5mm	18mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-10mm-12mm	10mm	12mm	10mm	12mm	39mm	10mm	14mm	19mm	10mm	8mm	10mm	37deg	16mm	6mm	22mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-10mm-16mm	10mm	16mm	10mm	16mm	43mm	10mm	14mm	27mm	11mm	8mm	13mm	37deg	21mm	6mm	25mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-12mm-6mm	12mm	6mm	12mm	6mm	43mm	13mm	19mm	11mm	7mm	10mm	4mm	37deg	9mm	4mm	22mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-12mm-10mm	12mm	10mm	12mm	10mm	43mm	13mm	19mm	14mm	8mm	10mm	8mm	37deg	12mm	5mm	22mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-12mm-12mm	12mm	12mm	12mm	12mm	45mm	13mm	19mm	19mm	10mm	10mm	10mm	37deg	16mm	6mm	22mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-12mm-16mm	12mm	16mm	12mm	16mm	48mm	13mm	19mm	27mm	11mm	10mm	13mm	37deg	21mm	6mm	25mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-12mm-20mm	12mm	20mm	12mm	20mm	52mm	13mm	19mm	27mm	11mm	10mm	15mm	37deg	24mm	7mm	32mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-20mm-10mm	20mm	10mm	20mm	10mm	44mm	16mm	27mm	14mm	8mm	15mm	8mm	37deg	12mm	5mm	32mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-20mm-12mm	20mm	12mm	20mm	12mm	47mm	16mm	27mm	19mm	10mm	15mm	10mm	37deg	16mm	6mm	32mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-20mm-16mm	20mm	16mm	20mm	16mm	50mm	16mm	27mm	27mm	11mm	15mm	13mm	37deg	21mm	6mm	32mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-20mm-20mm	20mm	20mm	20mm	20mm	52mm	16mm	27mm	27mm	11mm	15mm	15mm	37deg	24mm	7mm	32mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-20mm-25mm	20mm	25mm	20mm	25mm	54mm	16mm	27mm	33mm	13mm	15mm	21mm	37deg	28mm	8mm	38mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-25mm-20mm	25mm	20mm	25mm	20mm	57mm	18mm	33mm	27mm	11mm	21mm	15mm	37deg	24mm	7mm	38mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-25mm-25mm	25mm	25mm	25mm	25mm	58mm	18mm	33mm	33mm	13mm	21mm	21mm	37deg	28mm	8mm	38mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-25mm-30mm	25mm	30mm	25mm	30mm	61mm	18mm	33mm	41mm	14mm	21mm	27mm	37deg	38mm	8mm	51mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-25mm-38mm	25mm	38mm	25mm	38mm	67mm	18mm	33mm	48mm	16mm	21mm	33mm	37deg	44mm	10mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-25mm-50mm	25mm	50mm	25mm	50mm	77mm	18mm	33mm	64mm	17mm	21mm	45mm	37deg	58mm	11mm	73mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-30mm-20mm	30mm	20mm	30mm	20mm	60mm	18mm	41mm	27mm	11mm	27mm	15mm	37deg	24mm	7mm	51mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-30mm-25mm	30mm	25mm	30mm	25mm	61mm	18mm	41mm	33mm	13mm	27mm	21mm	37deg	28mm	8mm	51mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-30mm-30mm	30mm	30mm	30mm	30mm	62mm	18mm	41mm	41mm	14mm	27mm	27mm	37deg	38mm	8mm	51mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-30mm-38mm	30mm	38mm	30mm	38mm	67mm	18mm	41mm	48mm	16mm	27mm	33mm	37deg	44mm	10mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-30mm-50mm	30mm	50mm	30mm	50mm	77mm	18mm	41mm	64mm	17mm	27mm	45mm	37deg	58mm	11mm	73mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-38mm-20mm	38mm	20mm	38mm	20mm	62mm	18mm	48mm	27mm	11mm	33mm	15mm	37deg	24mm	7mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-38mm-25mm	38mm	25mm	38mm	25mm	64mm	18mm	48mm	33mm	13mm	33mm	21mm	37deg	28mm	8mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-38mm-30mm	38mm	30mm	38mm	30mm	65mm	18mm	48mm	41mm	14mm	33mm	27mm	37deg	38mm	8mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-38mm-38mm	38mm	38mm	38mm	38mm	68mm	18mm	48mm	48mm	16mm	33mm	33mm	37deg	44mm	10mm	57mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-38mm-50mm	38mm	50mm	38mm	50mm	78mm	18mm	48mm	64mm	17mm	33mm	45mm	37deg	58mm	11mm	64mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-50mm-50mm	50mm	50mm	50mm	50mm	79mm	19mm	64mm	64mm	17mm	45mm	45mm	37deg	58mm	11mm	73mm	10mm	SSTLMM	
