PartNumber	NominalSize	Schedule	OutsideDiameter (in)
PIPE-BW-16in-5S	16in	SCHEDULE 5S	16
PIPE-BW-18in-5S	18in	SCHEDULE 5S	18
PIPE-BW-20in-5S	20in	SCHEDULE 5S	20
PIPE-BW-22in-5S	22in	SCHEDULE 5S	22
PIPE-BW-24in-5S	24in	SCHEDULE 5S	24
PIPE-BW-30in-5S	30in	SCHEDULE 5S	30
PIPE-BW-0.125in-10S	1/8in	SCHEDULE 10S	0.405
PIPE-BW-0.25in-10S	1/4in	SCHEDULE 10S	0.54
PIPE-BW-0.375in-10S	3/8in	SCHEDULE 10S	0.675
PIPE-BW-0.5in-10S	1/2in	SCHEDULE 10S	0.84
PIPE-BW-0.75in-10S	3/4in	SCHEDULE 10S	1.05
PIPE-BW-1in-10S	1in	SCHEDULE 10S	1.315
PIPE-BW-1.25in-10S	1 1/4in	SCHEDULE 10S	1.66
PIPE-BW-1.5in-10S	1 1/2in	SCHEDULE 10S	1.9
PIPE-BW-2in-10S	2in	SCHEDULE 10S	2.375
PIPE-BW-2.5in-10S	2 1/2in	SCHEDULE 10S	2.875
PIPE-BW-3in-10S	3in	SCHEDULE 10S	3.5
PIPE-BW-3.5in-10S	3 1/2in	SCHEDULE 10S	4
PIPE-BW-4in-10S	4in	SCHEDULE 10S	4.5
PIPE-BW-5in-10S	5in	SCHEDULE 10S	5.563
PIPE-BW-6in-10S	6in	SCHEDULE 10S	6.625
PIPE-BW-8in-10S	8in	SCHEDULE 10S	8.625
PIPE-BW-10in-10S	10in	SCHEDULE 10S	10.75
PIPE-BW-12in-10S	12in	SCHEDULE 10S	12.75
PIPE-BW-14in-10S	14in	SCHEDULE 10S	14
PIPE-BW-16in-10S	16in	SCHEDULE 10S	16
PIPE-BW-18in-10S	18in	SCHEDULE 10S	18
PIPE-BW-20in-10S	20in	SCHEDULE 10S	20
PIPE-BW-22in-10S	22in	SCHEDULE 10S	22
PIPE-BW-24in-10S	24in	SCHEDULE 10S	24
PIPE-BW-30in-10S	30in	SCHEDULE 10S	30
PIPE-BW-0.125in-40S	1/8in	SCHEDULE 40S	0.405
PIPE-BW-0.25in-40S	1/4in	SCHEDULE 40S	0.54
PIPE-BW-0.375in-40S	3/8in	SCHEDULE 40S	0.675
PIPE-BW-0.5in-40S	1/2in	SCHEDULE 40S	0.84
PIPE-BW-0.75in-40S	3/4in	SCHEDULE 40S	1.05
PIPE-BW-1in-40S	1in	SCHEDULE 40S	1.315
PIPE-BW-1.25in-40S	1 1/4in	SCHEDULE 40S	1.66
PIPE-BW-1.5in-40S	1 1/2in	SCHEDULE 40S	1.9
PIPE-BW-2in-40S	2in	SCHEDULE 40S	2.375
PIPE-BW-2.5in-40S	2 1/2in	SCHEDULE 40S	2.875
PIPE-BW-3in-40S	3in	SCHEDULE 40S	3.5
PIPE-BW-3.5in-40S	3 1/2in	SCHEDULE 40S	4
PIPE-BW-4in-40S	4in	SCHEDULE 40S	4.5
PIPE-BW-5in-40S	5in	SCHEDULE 40S	5.563
PIPE-BW-6in-40S	6in	SCHEDULE 40S	6.625
PIPE-BW-8in-40S	8in	SCHEDULE 40S	8.625
PIPE-BW-10in-40S	10in	SCHEDULE 40S	10.75
PIPE-BW-12in-40S	12in	SCHEDULE 40S	12.75
PIPE-BW-0.125in-80S	1/8in	SCHEDULE 80S	0.405
PIPE-BW-0.25in-80S	1/4in	SCHEDULE 80S	0.54
PIPE-BW-0.375in-80S	3/8in	SCHEDULE 80S	0.675
PIPE-BW-0.5in-80S	1/2in	SCHEDULE 80S	0.84
PIPE-BW-0.75in-80S	3/4in	SCHEDULE 80S	1.05
PIPE-BW-1in-80S	1in	SCHEDULE 80S	1.315
PIPE-BW-1.25in-80S	1 1/4in	SCHEDULE 80S	1.66
PIPE-BW-1.5in-80S	1 1/2in	SCHEDULE 80S	1.9
PIPE-BW-2in-80S	2in	SCHEDULE 80S	2.375
PIPE-BW-2.5in-80S	2 1/2in	SCHEDULE 80S	2.875
PIPE-BW-3in-80S	3in	SCHEDULE 80S	3.5
PIPE-BW-3.5in-80S	3 1/2in	SCHEDULE 80S	4
PIPE-BW-4in-80S	4in	SCHEDULE 80S	4.5
PIPE-BW-5in-80S	5in	SCHEDULE 80S	5.563
PIPE-BW-6in-80S	6in	SCHEDULE 80S	6.625
PIPE-BW-8in-80S	8in	SCHEDULE 80S	8.625
PIPE-BW-10in-80S	10in	SCHEDULE 80S	10.75
PIPE-BW-12in-80S	12in	SCHEDULE 80S	12.75
