PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter (in)	EndThickness (in)	
FLANGE-WN-RJBW-600-1.25in	1 1/4in	600#	1.66	2.875	5.25	0.81	
FLANGE-WN-RJBW-600-1.5in	1 1/2in	600#	1.9	3	6.12	0.88	
FLANGE-WN-RJBW-600-2in	2in	600#	2.375	3.185	6.5	1	
FLANGE-WN-RJBW-600-2.5in	2 1/2in	600#	2.875	3.437	7.5	1.12	
FLANGE-WN-RJBW-600-3in	3in	600#	3.5	3.563	8.25	1.25	
FLANGE-WN-RJBW-600-3.5in	3 1/2in	600#	4	3.685	9	1.38	
FLANGE-WN-RJBW-600-4in	4in	600#	4.5	4.311	10.75	1.5	
FLANGE-WN-RJBW-600-5in	5in	600#	5.563	4.811	13	1.75	
FLANGE-WN-RJBW-600-6in	6in	600#	6.625	4.937	14	1.88	
FLANGE-WN-RJBW-600-8in	8in	600#	8.625	5.563	16.5	2.19	
FLANGE-WN-RJBW-600-10in	10in	600#	10.75	6.311	20	2.5	
FLANGE-WN-RJBW-600-12in	12in	600#	12.75	6.437	22	2.62	
FLANGE-WN-RJBW-600-14in	14in	600#	14	6.811	23.75	2.75	
FLANGE-WN-RJBW-600-16in	16in	600#	16	7.311	27	3	
FLANGE-WN-RJBW-600-18in	18in	600#	18	7.563	29.25	3.25	
FLANGE-WN-RJBW-600-20in	20in	600#	20	7.875	32	3.5	
FLANGE-WN-RJBW-600-24in	24in	600#	24	8.437	37	4	
FLANGE-WN-RJBW-900-3in	3in	900#	3.5	4.311	9.5	1.5	
FLANGE-WN-RJBW-900-4in	4in	900#	4.5	4.811	11.5	1.75	
FLANGE-WN-RJBW-900-5in	5in	900#	5.563	5.311	13.75	2	
FLANGE-WN-RJBW-900-6in	6in	900#	6.625	5.811	15	2.19	
FLANGE-WN-RJBW-900-8in	8in	900#	8.625	6.685	18.5	2.5	
FLANGE-WN-RJBW-900-10in	10in	900#	10.75	7.563	21.5	2.75	
FLANGE-WN-RJBW-900-12in	12in	900#	12.75	8.185	24	3.12	
FLANGE-WN-RJBW-900-14in	14in	900#	14	8.811	25.25	3.38	
FLANGE-WN-RJBW-900-16in	16in	900#	16	8.937	27.75	3.5	
FLANGE-WN-RJBW-900-18in	18in	900#	18	9.5	31	4	
FLANGE-WN-RJBW-900-20in	20in	900#	20	10.25	33.75	4.25	
FLANGE-WN-RJBW-900-24in	24in	900#	24	12.125	41	5.5	
FLANGE-WN-RJBW-1500-0.5in	1/2in	1500#	0.84	2.625	4.75	0.88	
FLANGE-WN-RJBW-1500-0.75in	3/4in	1500#	1.05	3	5.12	1	
FLANGE-WN-RJBW-1500-1in	1in	1500#	1.315	3.125	5.88	1.12	
FLANGE-WN-RJBW-1500-1.25in	1 1/4in	1500#	1.66	3.125	6.25	1.12	
FLANGE-WN-RJBW-1500-1.5in	1 1/2in	1500#	1.9	3.5	7	1.25	
FLANGE-WN-RJBW-1500-2in	2in	1500#	2.375	4.311	8.5	1.5	
FLANGE-WN-RJBW-1500-2.5in	2 1/2in	1500#	2.875	4.437	9.62	1.62	
FLANGE-WN-RJBW-1500-3in	3in	1500#	3.5	4.937	10.5	1.88	
FLANGE-WN-RJBW-1500-4in	4in	1500#	4.5	5.185	12.25	2.12	
FLANGE-WN-RJBW-1500-5in	5in	1500#	5.563	6.437	14.75	2.88	
FLANGE-WN-RJBW-1500-6in	6in	1500#	6.625	7.125	15.5	3.25	
FLANGE-WN-RJBW-1500-8in	8in	1500#	8.625	8.811	19	3.62	
FLANGE-WN-RJBW-1500-10in	10in	1500#	10.75	10.437	23	4.25	
FLANGE-WN-RJBW-1500-12in	12in	1500#	12.75	11.685	26.5	4.88	
FLANGE-WN-RJBW-1500-14in	14in	1500#	14	12.375	29.5	5.25	
FLANGE-WN-RJBW-1500-16in	16in	1500#	16	12.937	32.5	5.75	
FLANGE-WN-RJBW-1500-18in	18in	1500#	18	13.563	36	6.38	
FLANGE-WN-RJBW-1500-20in	20in	1500#	20	14.685	38.75	7	
FLANGE-WN-RJBW-1500-24in	24in	1500#	24	16.811	46	8	
FLANGE-WN-RJBW-2500-0.5in	1/2in	2500#	0.84	3.125	5.25	1.19	
FLANGE-WN-RJBW-2500-0.75in	3/4in	2500#	1.05	3.375	5.5	1.25	
FLANGE-WN-RJBW-2500-1in	1in	2500#	1.315	3.75	6.25	1.38	
FLANGE-WN-RJBW-2500-1.25in	1 1/4in	2500#	1.66	4.063	7.25	1.5	
FLANGE-WN-RJBW-2500-1.5in	1 1/2in	2500#	1.9	4.685	8	1.75	
FLANGE-WN-RJBW-2500-2in	2in	2500#	2.375	5.311	9.25	2	
FLANGE-WN-RJBW-2500-2.5in	2 1/2in	2500#	2.875	6	10.5	2.25	
FLANGE-WN-RJBW-2500-3in	3in	2500#	3.5	7	12	2.62	
FLANGE-WN-RJBW-2500-4in	4in	2500#	4.5	7.937	14	3	
FLANGE-WN-RJBW-2500-5in	5in	2500#	5.563	9.5	16.5	3.62	
FLANGE-WN-RJBW-2500-6in	6in	2500#	6.625	11.25	19	4.25	
FLANGE-WN-RJBW-2500-8in	8in	2500#	8.625	13.063	21.75	5	
FLANGE-WN-RJBW-2500-10in	10in	2500#	10.75	17.185	26.5	6.5	
FLANGE-WN-RJBW-2500-12in	12in	2500#	12.75	18.937	30	7.25	
