PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter (in)	EndThickness (in)	
FLANGE-WN-RFBW-300-4in	4in	300#	4.5	3.375	10	1.25	
FLANGE-WN-RFBW-300-5in	5in	300#	5.563	3.875	11	1.38	
FLANGE-WN-RFBW-300-6in	6in	300#	6.625	3.875	12.5	1.44	
FLANGE-WN-RFBW-300-8in	8in	300#	8.625	4.375	15	1.62	
FLANGE-WN-RFBW-300-10in	10in	300#	10.75	4.625	17.5	1.88	
FLANGE-WN-RFBW-300-12in	12in	300#	12.75	5.125	20.5	2	
FLANGE-WN-RFBW-300-14in	14in	300#	14	5.625	23	2.12	
FLANGE-WN-RFBW-300-16in	16in	300#	16	5.75	25.5	2.25	
FLANGE-WN-RFBW-300-18in	18in	300#	18	6.25	28	2.38	
FLANGE-WN-RFBW-300-20in	20in	300#	20	6.375	30.5	2.5	
FLANGE-WN-RFBW-300-24in	24in	300#	24	6.625	36	2.75	
FLANGE-WN-RFBW-400-0.5in	1/2in	400#	0.84	2.312	3.75	0.56	
FLANGE-WN-RFBW-400-0.75in	3/4in	400#	1.05	2.5	4.62	0.62	
FLANGE-WN-RFBW-400-1in	1in	400#	1.315	2.687	4.88	0.69	
FLANGE-WN-RFBW-400-1.25in	1 1/4in	400#	1.66	2.875	5.25	0.81	
FLANGE-WN-RFBW-400-1.5in	1 1/2in	400#	1.9	3	6.12	0.88	
FLANGE-WN-RFBW-400-2in	2in	400#	2.375	3.125	6.5	1	
FLANGE-WN-RFBW-400-2.5in	2 1/2in	400#	2.875	3.375	7.5	1.125	
FLANGE-WN-RFBW-400-3in	3in	400#	3.5	3.5	8.25	1.25	
