PartNumber	NominalSize	Rating	EndDiameter (in)	FaceToFaceLength (in)	
GASKET-RJ-600-2in	2in	600#	6.5	0.19	
GASKET-RJ-600-2.5in	2 1/2in	600#	7.5	0.19	
GASKET-RJ-600-3in	3in	600#	8.25	0.19	
GASKET-RJ-600-3.5in	3 1/2in	600#	9	0.19	
GASKET-RJ-600-4in	4in	600#	10.75	0.19	
GASKET-RJ-600-5in	5in	600#	13	0.19	
GASKET-RJ-600-6in	6in	600#	14	0.19	
GASKET-RJ-600-8in	8in	600#	16.5	0.19	
GASKET-RJ-600-10in	10in	600#	20	0.19	
GASKET-RJ-600-12in	12in	600#	22	0.19	
GASKET-RJ-600-14in	14in	600#	23.75	0.19	
GASKET-RJ-600-16in	16in	600#	27	0.19	
GASKET-RJ-600-18in	18in	600#	29.25	0.19	
GASKET-RJ-600-20in	20in	600#	32	0.19	
GASKET-RJ-600-24in	24in	600#	37	0.22	
GASKET-RJ-900-3in	3in	900#	9.5	0.16	
GASKET-RJ-900-4in	4in	900#	11.5	0.16	
GASKET-RJ-900-5in	5in	900#	13.75	0.16	
GASKET-RJ-900-6in	6in	900#	15	0.16	
GASKET-RJ-900-8in	8in	900#	18.5	0.16	
GASKET-RJ-900-10in	10in	900#	21.5	0.16	
GASKET-RJ-900-12in	12in	900#	24	0.16	
GASKET-RJ-900-14in	14in	900#	25.25	0.16	
GASKET-RJ-900-16in	16in	900#	27.75	0.16	
GASKET-RJ-900-18in	18in	900#	31	0.19	
GASKET-RJ-900-20in	20in	900#	33.75	0.19	
GASKET-RJ-900-24in	24in	900#	41	0.22	
GASKET-RJ-1500-0.5in	1/2in	1500#	4.75	0.16	
GASKET-RJ-1500-0.75in	3/4in	1500#	5.12	0.16	
GASKET-RJ-1500-1in	1in	1500#	5.88	0.16	
GASKET-RJ-1500-1.25in	1 1/4in	1500#	6.25	0.16	
GASKET-RJ-1500-1.5in	1 1/2in	1500#	7	0.16	
GASKET-RJ-1500-2in	2in	1500#	8.5	0.12	
GASKET-RJ-1500-2.5in	2 1/2in	1500#	9.62	0.12	
GASKET-RJ-1500-3in	3in	1500#	10.5	0.12	
GASKET-RJ-1500-4in	4in	1500#	12.25	0.12	
GASKET-RJ-1500-5in	5in	1500#	14.75	0.12	
GASKET-RJ-1500-6in	6in	1500#	15.5	0.12	
GASKET-RJ-1500-8in	8in	1500#	19	0.16	
GASKET-RJ-1500-10in	10in	1500#	23	0.16	
GASKET-RJ-1500-12in	12in	1500#	26.5	0.19	
GASKET-RJ-1500-14in	14in	1500#	29.5	0.22	
GASKET-RJ-1500-16in	16in	1500#	32.5	0.31	
GASKET-RJ-1500-18in	18in	1500#	36	0.31	
GASKET-RJ-1500-20in	20in	1500#	38.75	0.3	
GASKET-RJ-1500-24in	24in	1500#	46	0.44	
GASKET-RJ-2500-0.5in	1/2in	2500#	5.25	0.16	
GASKET-RJ-2500-0.75in	3/4in	2500#	5.5	0.16	
GASKET-RJ-2500-1in	1in	2500#	6.25	0.16	
GASKET-RJ-2500-1.25in	1 1/4in	2500#	7.25	0.12	
GASKET-RJ-2500-1.5in	1 1/2in	2500#	8	0.12	
GASKET-RJ-2500-2in	2in	2500#	9.25	0.12	
GASKET-RJ-2500-2.5in	2 1/2in	2500#	10.5	0.12	
GASKET-RJ-2500-3in	3in	2500#	12	0.12	
GASKET-RJ-2500-4in	4in	2500#	14	0.16	
GASKET-RJ-2500-5in	5in	2500#	16.5	0.16	
GASKET-RJ-2500-6in	6in	2500#	19	0.16	
GASKET-RJ-2500-8in	8in	2500#	21.75	0.19	
GASKET-RJ-2500-10in	10in	2500#	26.5	0.25	
GASKET-RJ-2500-12in	12in	2500#	30	0.31	
