PartNumber	NominalSize	NominalSize2	OutsideDiameter (in)	OutsideDiameter2 (in)	CenterToFaceLength (in)	CenterToBranchFaceLength (in)	WallThickness(in)	WallThickness2(in)
TEER-WM-BW-24in-18in	24in	18in	24	18	17	16.5	0.5	0.5
TEER-WM-BW-24in-20in	24in	20in	24	20	17	17	0.5	0.5
TEER-WM-BW-24in-22in	24in	22in	24	22	17	17	0.5	0.5
TEER-WM-BW-26in-12in	26in	12in	26	12.75	19.5	16.625	0.5	0.5
TEER-WM-BW-26in-14in	26in	14in	26	14	19.5	17	0.5	0.5
TEER-WM-BW-26in-16in	26in	16in	26	16	19.5	17	0.5	0.5
TEER-WM-BW-26in-18in	26in	18in	26	18	19.5	17.5	0.5	0.5
TEER-WM-BW-26in-20in	26in	20in	26	20	19.5	18	0.5	0.5
TEER-WM-BW-26in-22in	26in	22in	26	22	19.5	18.5	0.5	0.5
TEER-WM-BW-26in-24in	26in	24in	26	24	19.5	19	0.5	0.5
TEER-WM-BW-28in-12in	28in	12in	28	12.75	20.5	17.625	0.5	0.5
TEER-WM-BW-28in-14in	28in	14in	28	14	20.5	18	0.5	0.5
TEER-WM-BW-28in-16in	28in	16in	28	16	20.5	18	0.5	0.5
TEER-WM-BW-28in-18in	28in	18in	28	18	20.5	18.5	0.5	0.5
TEER-WM-BW-28in-20in	28in	20in	28	20	20.5	19	0.5	0.5
TEER-WM-BW-28in-22in	28in	22in	28	22	20.5	19.5	0.5	0.5
TEER-WM-BW-28in-24in	28in	24in	28	24	20.5	20	0.5	0.5
TEER-WM-BW-28in-26in	28in	26in	28	26	20.5	20.5	0.5	0.5
TEER-WM-BW-30in-10in	30in	10in	30	10.75	22	18.125	0.5	0.5
TEER-WM-BW-30in-12in	30in	12in	30	12.75	22	18.625	0.5	0.5
TEER-WM-BW-30in-14in	30in	14in	30	14	22	19	0.5	0.5
TEER-WM-BW-30in-16in	30in	16in	30	16	22	19	0.5	0.5
TEER-WM-BW-30in-18in	30in	18in	30	18	22	19.5	0.5	0.5
TEER-WM-BW-30in-20in	30in	20in	30	20	22	20	0.5	0.5
TEER-WM-BW-30in-22in	30in	22in	30	22	22	20.5	0.5	0.5
TEER-WM-BW-30in-24in	30in	24in	30	24	22	21	0.5	0.5
TEER-WM-BW-30in-26in	30in	26in	30	26	22	21.5	0.5	0.5
TEER-WM-BW-30in-28in	30in	28in	30	28	22	21.5	0.5	0.5
TEER-WM-BW-32in-14in	32in	14in	32	14	23.5	20	0.5	0.5
TEER-WM-BW-32in-16in	32in	16in	32	16	23.5	20	0.5	0.5
TEER-WM-BW-32in-18in	32in	18in	32	18	23.5	20.5	0.5	0.5
TEER-WM-BW-32in-20in	32in	20in	32	20	23.5	21	0.5	0.5
TEER-WM-BW-32in-22in	32in	22in	32	22	23.5	21.5	0.5	0.5
TEER-WM-BW-32in-24in	32in	24in	32	24	23.5	22	0.5	0.5
TEER-WM-BW-32in-26in	32in	26in	32	26	23.5	22.5	0.5	0.5
TEER-WM-BW-32in-28in	32in	28in	32	28	23.5	22.5	0.5	0.5
TEER-WM-BW-32in-30in	32in	30in	32	30	23.5	23	0.5	0.5
TEER-WM-BW-34in-16in	34in	16in	34	16	25	21	0.5	0.5
TEER-WM-BW-34in-18in	34in	18in	34	18	25	21.5	0.5	0.5
TEER-WM-BW-34in-20in	34in	20in	34	20	25	22	0.5	0.5
TEER-WM-BW-34in-22in	34in	22in	34	22	25	22.5	0.5	0.5
TEER-WM-BW-34in-24in	34in	24in	34	24	25	23	0.5	0.5
TEER-WM-BW-34in-26in	34in	26in	34	26	25	23.5	0.5	0.5
TEER-WM-BW-34in-28in	34in	28in	34	28	25	23.5	0.5	0.5
TEER-WM-BW-34in-30in	34in	30in	34	30	25	24	0.5	0.5
TEER-WM-BW-34in-32in	34in	32in	34	32	25	24.5	0.5	0.5
TEER-WM-BW-36in-16in	36in	16in	36	16	26.5	22	0.5	0.5
TEER-WM-BW-36in-18in	36in	18in	36	18	26.5	22.5	0.5	0.5
TEER-WM-BW-36in-20in	36in	20in	36	20	26.5	23	0.5	0.5
TEER-WM-BW-36in-22in	36in	22in	36	22	26.5	23.5	0.5	0.5
TEER-WM-BW-36in-24in	36in	24in	36	24	26.5	24	0.5	0.5
TEER-WM-BW-36in-26in	36in	26in	36	26	26.5	24.5	0.5	0.5
TEER-WM-BW-36in-28in	36in	28in	36	28	26.5	24.5	0.5	0.5
TEER-WM-BW-36in-30in	36in	30in	36	30	26.5	25	0.5	0.5
TEER-WM-BW-36in-32in	36in	32in	36	32	26.5	25.5	0.5	0.5
TEER-WM-BW-36in-34in	36in	34in	36	34	26.5	26	0.5	0.5
TEER-WM-BW-42in-16in	42in	16in	42	16	30	25	0.5	0.5
TEER-WM-BW-42in-18in	42in	18in	42	18	30	25.5	0.5	0.5
TEER-WM-BW-42in-20in	42in	20in	42	20	30	26	0.5	0.5
TEER-WM-BW-42in-22in	42in	22in	42	22	30	26	0.5	0.5
TEER-WM-BW-42in-24in	42in	24in	42	24	30	26	0.5	0.5
TEER-WM-BW-42in-26in	42in	26in	42	26	30	27.5	0.5	0.5
TEER-WM-BW-42in-28in	42in	28in	42	28	30	27.5	0.5	0.5
TEER-WM-BW-42in-30in	42in	30in	42	30	30	28	0.5	0.5
TEER-WM-BW-42in-32in	42in	32in	42	32	30	28	0.5	0.5
TEER-WM-BW-42in-34in	42in	34in	42	34	30	28	0.5	0.5
TEER-WM-BW-42in-36in	42in	36in	42	36	30	28	0.5	0.5
TEER-WM-BW-48in-16in	48in	16in	48	16	35	28	0.5	0.5
TEER-WM-BW-48in-18in	48in	18in	48	18	35	28.5	0.5	0.5
TEER-WM-BW-48in-20in	48in	20in	48	20	35	29	0.5	0.5
TEER-WM-BW-48in-22in	48in	22in	48	22	35	29	0.5	0.5
TEER-WM-BW-48in-24in	48in	24in	48	24	35	29	0.5	0.5
TEER-WM-BW-48in-26in	48in	26in	48	26	35	30	0.5	0.5
TEER-WM-BW-48in-28in	48in	28in	48	28	35	30	0.5	0.5
TEER-WM-BW-48in-30in	48in	30in	48	30	35	30	0.5	0.5
TEER-WM-BW-48in-32in	48in	32in	48	32	35	31	0.5	0.5
TEER-WM-BW-48in-34in	48in	34in	48	34	35	31	0.5	0.5
TEER-WM-BW-48in-36in	48in	36in	48	36	35	31	0.5	0.5
TEER-WM-BW-48in-38in	48in	38in	48	38	35	32	0.5	0.5
TEER-WM-BW-48in-40in	48in	40in	48	40	35	32	0.5	0.5
TEER-WM-BW-48in-42in	48in	42in	48	42	35	32	0.5	0.5
TEER-WM-BW-48in-44in	48in	44in	48	44	35	33	0.5	0.5
TEER-WM-BW-48in-46in	48in	46in	48	46	35	33	0.5	0.5
