Piping-Symbol	Iso-Symbol	Iso-Component	Comments
USER-DEFINED	VX	VALVE	OK
USER-DEFINED	VY	VALVE	OK
USER-DEFINED	VZ	VALVE	OK
USER-DEFINED	ZB	VALVE	OK
USER-DEFINED	ZG	VALVE	OK
V_3WAY_BW	V3	VALVE-3WAY	OK
USER-DEFINED	K3	VALVE-3WAY	OK
USER-DEFINED	3D	VALVE-3WAY	OK
USER-DEFINED	3Z	VALVE-3WAY	OK
USER-DEFINED	4D	VALVE-4WAY	NOT SUPPORTED
USER-DEFINED	4Z	VALVE-4WAY	NOT SUPPORTED
USER-DEFINED	V4	VALVE-4WAY	NOT SUPPORTED
USER-DEFINED	AR	VALVE-ANGLE	NOT SUPPORTED	
USER-DEFINED	AV	VALVE-ANGLE	NOT SUPPORTED
USER-DEFINED	AX	VALVE-ANGLE	NOT SUPPORTED
USER-DEFINED	2D	VALVE-ANGLE	NOT SUPPORTED
USER-DEFINED	2Z	VALVE-ANGLE	NOT SUPPORTED
USER-DEFINED	MD	VALVE-MULTIWAY	NOT SUPPORTED
USER-DEFINED	MZ	VALVE-MULTIWAY	NOT SUPPORTED
USER-DEFINED	WFD	WELD	OK
USER-DEFINED	WFT	WELD	OK	
USER-DEFINED	WM	WELD	OK
USER-DEFINED	WMF	WELD	OK
USER-DEFINED	WMFT	WELD	OK
USER-DEFINED	WO	WELD	OK
USER-DEFINED	WOD	WELD	OK
USER-DEFINED	WOF	WELD	OK
USER-DEFINED	WOFD	WELD	OK
USER-DEFINED	WOFT	WELD	OK
USER-DEFINED	WOT	WELD	OK
USER-DEFINED	WS	WELD	OK
USER-DEFINED	WSD	WELD	OK
USER-DEFINED	WST	WELD	OK
WELD	WW	WELD	OK
USER-DEFINED	WWA	WELD	OK
USER-DEFINED	WWD	WELD	OK
USER-DEFINED	WSSP	WELD	OK
USER-DEFINED	WFST	WELD	OK
USER-DEFINED	WSST	WELD	OK
USER-DEFINED	WOST	WELD	OK
USER-DEFINED	WWST	WELD	OK
USER-DEFINED	WVST	WELD	OK
USER-DEFINED	XX	WELD	OK
USER-DEFINED	XXD	WELD	OK
USER-DEFINED	ZSP	WELD	OK
USER-DEFINED	ZTN	WELD	OK
USER-DEFINED	ZTR	WELD	OK
USER-DEFINED	TYSO	Y-PIECE-FABRICATED	OK
WYE_2605_2_60	TY	TEE
PIPE	PIPE	PIPE






