CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	Length	InsideWidth1	InsideWidth2	LoadingDepth	RailFlangeWidth	RailFlangeThickness	RailWebThickness	RungSpacing	RungHeight	RungLength
B35AL-42-36-SR 	B35x42"	B35x36"	5.06in	43.49in	37.49in	9.7500in	42in	36in	3.96in	1.75in	0.1in	0.09in	6in	1in	1in
B36AL-09-06-SR	B36x9"	B36x6"	6.17in	10.45in	7.45in	8.8750in	9in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-12-06-SR	B36x12"	B36x6"	6.17in	13.45in	7.45in	9.7500in	12in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-12-09-SR	B36x12"	B36x9"	6.17in	13.45in	10.45in	8.8750in	12in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-18-06-SR	B36x18"	B36x6"	6.17in	19.45in	7.45in	11.500in	18in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-18-09-SR	B36x18"	B36x9"	6.17in	19.45in	10.45in	10.625in	18in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-18-12-SR	B36x18"	B36x12"	6.17in	19.45in	13.45in	9.7500in	18in	12in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-24-06-SR	B36x24"	B36x6"	6.17in	25.45in	7.45in	13.1875in	24in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-24-09-SR	B36x24"	B36x9"	6.17in	25.45in	10.45in	12.375in	24in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-24-12-SR	B36x24"	B36x12"	6.17in	25.45in	13.45in	11.500in	24in	12in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-24-18-SR	B36x24"	B36x18"	6.17in	25.45in	19.45in	9.7500in	24in	18in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-30-06-SR	B36x30"	B36x6"	6.17in	31.45in	7.45in	14.9375in	30in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-30-09-SR	B36x30"	B36x9"	6.17in	31.45in	10.45in	14.0625in	30in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-30-12-SR	B36x30"	B36x12"	6.17in	31.45in	13.45in	13.1875in	30in	12in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-30-18-SR	B36x30"	B36x18"	6.17in	31.45in	19.45in	11.500in	30in	18in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-30-24-SR	B36x30"	B36x24"	6.17in	31.45in	25.45in	9.7500in	30in	24in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-06-SR	B36x36"	B36x6"	6.17in	37.45in	7.45in	16.6875in	36in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-09-SR	B36x36"	B36x9"	6.17in	37.45in	10.45in	15.8125in	36in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-12-SR	B36x36"	B36x12"	6.17in	37.45in	13.45in	14.9375in	36in	12in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-18-SR	B36x36"	B36x18"	6.17in	37.45in	19.45in	13.1875in	36in	18in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-24-SR	B36x36"	B36x24"	6.17in	37.45in	25.45in	11.500in	36in	24in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-36-30-SR	B36x36"	B36x30"	6.17in	37.45in	31.45in	9.7500in	36in	30in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-06-SR	B36x42"	B36x6"	6.17in	43.45in	7.45in	18.375in	42in	6in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-09-SR	B36x42"	B36x9"	6.17in	43.45in	10.45in	17.500in	42in	9in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-12-SR	B36x42"	B36x12"	6.17in	43.45in	13.45in	16.6875in	42in	12in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-18-SR	B36x42"	B36x18"	6.17in	43.45in	19.45in	14.9375in	42in	18in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-24-SR	B36x42"	B36x24"	6.17in	43.45in	25.45in	13.1875in	42in	24in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-30-SR	B36x42"	B36x30"	6.17in	43.45in	31.45in	11.500in	42in	30in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B36AL-42-36-SR 	B36x42"	B36x36"	6.17in	43.45in	37.45in	9.7500in	42in	36in	5.06in	2in	0.11in	0.075in	6in	1in	1in
B37AL-09-06-SR	B37x9"	B37x6"	7.14in	10.5in	7.5in	8.8750in	9in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-12-06-SR	B37x12"	B37x6"	7.14in	13.5in	7.5in	9.7500in	12in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-12-09-SR	B37x12"	B37x9"	7.14in	13.5in	10.5in	8.8750in	12in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-18-06-SR	B37x18"	B37x6"	7.14in	19.5in	7.5in	11.500in	18in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-18-09-SR	B37x18"	B37x9"	7.14in	19.5in	10.5in	10.625in	18in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-18-12-SR	B37x18"	B37x12"	7.14in	19.5in	13.5in	9.7500in	18in	12in	6.05in	2in	0.09in	0.075in	6in	1in	1in
